Player,Salary,Season
Noah Vonleh,"$4,031,018 ",2017-18
Noah Vonleh,"$1,621,415 ",2018-19
Noah Vonleh,"$2,000,000 ",2019-20
Noah Vonleh,"$427,725 ",2020-21
Nikola Vučević,"$12,250,000 ",2017-18
Nikola Vučević,"$12,750,000 ",2018-19
Nikola Vučević,"$28,000,000 ",2019-20
Nikola Vučević,"$26,000,000 ",2020-21
Nikola Pekovic,"$11,600,000 ",2017-18
Nikola Mirotić,"$12,500,000 ",2017-18
Nikola Mirotić,"$12,500,000 ",2018-19
Nikola Jokić,"$1,471,382 ",2017-18
Nikola Jokić,"$25,467,250 ",2018-19
Nikola Jokić,"$27,504,630 ",2019-20
Nikola Jokić,"$29,542,010 ",2020-21
Nik Stauskas,"$3,807,146 ",2017-18
Nik Stauskas,"$2,161,886 ",2018-19
Nigel Williams-Goss,"$1,500,000 ",2019-20
Nigel Hayes,"$193,532 ",2017-18
Nicolo Melli,"$4,102,564 ",2019-20
Nicolo Melli,"$3,897,436 ",2020-21
Nicolas Claxton,"$898,310 ",2019-20
Nicolas Claxton,"$1,517,981 ",2020-21
Nicolas Brussino,"$393,041 ",2017-18
Nicolas Batum,"$22,434,783 ",2017-18
Nicolas Batum,"$24,000,000 ",2018-19
